text,label
not adulterated,1
attain,1
not attain,0
adulteration,0
not adulteration,1
attempt,1
not attempt,0
adversarial,0
not adversarial,1
attention,1
not attention,0
adversary,0
not adversary,1
attentive,1
not attentive,0
adverse,0
not adverse,1
attest,1
not attest,0
adversity,0
not adversity,1
attraction,1
not attraction,0
afflict,0
not afflict,1
attribute,1
not attribute,0
affliction,0
not affliction,1
attune,1
not attune,0
afflictive,0
not afflictive,1
augment,1
not augment,0
affront,0
not affront,1
auspicious,1
not auspicious,0
afraid,0
not afraid,1
authentic,1
not authentic,0
aggravate,0
not aggravate,1
available,1
not available,0
aggravating,0
not aggravating,1
avid,1
not avid,0
aggravation,0
not aggravation,1
awake,1
not awake,0
aggression,0
not aggression,1
award,1
not award,0
aggressive,0
not aggressive,1
aware,1
not aware,0
aggressiveness,0
not aggressiveness,1
awash,1
not awash,0
aggressor,0
not aggressor,1
awesome,1
not awesome,0
aggrieve,0
not aggrieve,1
aye,1
not aye,0
aggrieved,0
not aggrieved,1
back,1
not back,0
aghast,0
not aghast,1
balance,1
not balance,0
agonies,0
not agonies,1
balanced,1
not balanced,0
agonize,0
not agonize,1
beatific,1
not beatific,0
agonizing,0
not agonizing,1
beatify,1
not beatify,0
agonizingly,0
not agonizingly,1
beatitude,1
not beatitude,0
agony,0
not agony,1
beau,1
not beau,0
aground,0
not aground,1
beauteous,1
not beauteous,0
ail,0
not ail,1
beautiful,1
not beautiful,0
ailing,0
not ailing,1
beautify,1
not beautify,0
ailment,0
not ailment,1
beauty,1
not beauty,0
aimless,0
not aimless,1
become,1
not become,0
alarm,0
not alarm,1
befriend,1
not befriend,0
alarmed,0
not alarmed,1
begin,1
not begin,0
alarming,0
not alarming,1
beginning,1
not beginning,0
alarmingly,0
not alarmingly,1
being,1
not being,0
alienate,0
not alienate,1
belief,1
not belief,0
alienated,0
not alienated,1
believe,1
not believe,0
alienation,0
not alienation,1
beloved,1
not beloved,0
allegation,0
not allegation,1
benedictory,1
not benedictory,0
allegations,0
not allegations,1
benefaction,1
not benefaction,0
allege,0
not allege,1
beneficial,1
not beneficial,0
allergic,0
not allergic,1
benefit,1
not benefit,0
allergies,0
not allergies,1
benevolent,1
not benevolent,0
allergy,0
not allergy,1
best,1
not best,0
aloof,0
not aloof,1
bestow,1
not bestow,0
altercation,0
not altercation,1
bet,1
not bet,0
ambiguity,0
not ambiguity,1
better,1
not better,0
ambiguous,0
not ambiguous,1
betterment,1
not betterment,0
ambivalence,0
not ambivalence,1
beyond,1
not beyond,0
ambivalent,0
not ambivalent,1
big,1
not big,0
ambush,0
not ambush,1
big-hearted,1
not big-hearted,0
amiss,0
not amiss,1
bijou,1
not bijou,0
amputate,0
not amputate,1
bird,1
not bird,0
anarchism,0
not anarchism,1
blasting,1
not blasting,0
anarchist,0
not anarchist,1
bless,1
not bless,0
anarchistic,0
not anarchistic,1
blessed,1
not blessed,0
anarchy,0
not anarchy,1
blessing,1
not blessing,0
anemic,0
not anemic,1
bliss,1
not bliss,0
anger,0
not anger,1
blissful,1
not blissful,0
angrily,0
not angrily,1
bloom,1
not bloom,0
angriness,0
not angriness,1
blooming,1
not blooming,0
angry,0
not angry,1
blossom,1
not blossom,0
anguish,0
not anguish,1
bold,1
not bold,0
animosity,0
not animosity,1
bombastic,1
not bombastic,0
annihilate,0
not annihilate,1
bonafide,1
not bonafide,0
annihilation,0
not annihilation,1
bonanza,1
not bonanza,0
annoy,0
not annoy,1
bond,1
not bond,0
annoyance,0
not annoyance,1
bonny,1
not bonny,0
annoyances,0
not annoyances,1
bonus,1
not bonus,0
annoyed,0
not annoyed,1
boom,1
not boom,0
annoying,0
not annoying,1
boost,1
not boost,0
annoyingly,0
not annoyingly,1
bountiful,1
not bountiful,0
annoys,0
not annoys,1
bounty,1
not bounty,0
anomalous,0
not anomalous,1
box,1
not box,0
anomaly,0
not anomaly,1
brainy,1
not brainy,0
antagonism,0
not antagonism,1
brand-new,1
not brand-new,0
antagonist,0
not antagonist,1
brave,1
not brave,0
antagonistic,0
not antagonistic,1
bravery,1
not bravery,0
antagonize,0
not antagonize,1
bravo!,1
not bravo!,0
anti,0
not anti,1
breakthrough,1
not breakthrough,0
anti-occupation,0
not anti-occupation,1
breathtaking,1
not breathtaking,0
anti-proliferation,0
not anti-proliferation,1
bright,1
not bright,0
anti-social,0
not anti-social,1
brighten,1
not brighten,0
anti-us,0
not anti-us,1
brill,1
not brill,0
anti-white,0
not anti-white,1
brilliant,1
not brilliant,0
antipathy,0
not antipathy,1
brisk,1
not brisk,0
antiquated,0
not antiquated,1
briskly,1
not briskly,0
antithetical,0
not antithetical,1
bubbly,1
not bubbly,0
anxieties,0
not anxieties,1
budding,1
not budding,0
anxiety,0
not anxiety,1
buddy,1
not buddy,0
anxious,0
not anxious,1
build,1
not build,0
anxiously,0
not anxiously,1
bullish,1
not bullish,0
anxiousness,0
not anxiousness,1
cajole,1
not cajole,0
apathetic,0
not apathetic,1
calm,1
not calm,0
apathetically,0
not apathetically,1
calming,1
not calming,0
apathy,0
not apathy,1
calmly,1
not calmly,0
apocalypse,0
not apocalypse,1
calmness,1
not calmness,0
apocalyptic,0
not apocalyptic,1
campaign,1
not campaign,0
apologist,0
not apologist,1
campaigner,1
not campaigner,0
apologists,0
not apologists,1
can,1
not can,0
appall,0
not appall,1
can-do,1
not can-do,0
appalled,0
not appalled,1
candescent,1
not candescent,0
appalling,0
not appalling,1
candid,1
not candid,0
appallingly,0
not appallingly,1
candidly,1
not candidly,0
apprehension,0
not apprehension,1
candor,1
not candor,0
apprehensions,0
not apprehensions,1
candy,1
not candy,0
apprehensiveapprehensively,0
not apprehensiveapprehensively,1
cannily,1
not cannily,0
arbitrary,0
not arbitrary,1
canny,1
not canny,0
arcane,0
not arcane,1
canteen,1
not canteen,0
archaic,0
not archaic,1
capability,1
not capability,0
arduous,0
not arduous,1
capable,1
not capable,0
arduously,0
not arduously,1
capably,1
not capably,0
argumentative,0
not argumentative,1
capacious,1
not capacious,0
arrogance,0
not arrogance,1
capital,1
not capital,0
arrogant,0
not arrogant,1
captain,1
not captain,0
arrogantly,0
not arrogantly,1
captivate,1
not captivate,0
ashamed,0
not ashamed,1
captivating,1
not captivating,0
asinine,0
not asinine,1
care,1
not care,0
asininely,0
not asininely,1
cared,1
not cared,0
askance,0
not askance,1
career,1
not career,0
asperse,0
not asperse,1
carefree,1
not carefree,0
aspersion,0
not aspersion,1
carefreeness,1
not carefreeness,0
aspersions,0
not aspersions,1
careful,1
not careful,0
assail,0
not assail,1
carefully,1
not carefully,0
assassin,0
not assassin,1
carefulness,1
not carefulness,0
assassinate,0
not assassinate,1
caress,1
not caress,0
assault,0
not assault,1
caretaker,1
not caretaker,0
astray,0
not astray,1
caring,1
not caring,0
asunder,0
not asunder,1
cash,1
not cash,0
atrocious,0
not atrocious,1
casual,1
not casual,0
atrocities,0
not atrocities,1
casually,1
not casually,0
atrocity,0
not atrocity,1
catalyst,1
not catalyst,0
atrophy,0
not atrophy,1
catch,1
not catch,0
attack,0
not attack,1
catching,1
not catching,0
attacks,0
not attacks,1
catchy,1
not catchy,0
audacious,0
not audacious,1
cause,1
not cause,0
audaciously,0
not audaciously,1
celebrate,1
not celebrate,0
audaciousness,0
not audaciousness,1
celebrated,1
not celebrated,0
audacity,0
not audacity,1
celebration,1
not celebration,0
austere,0
not austere,1
celebrator,1
not celebrator,0
authoritarian,0
not authoritarian,1
celebratory,1
not celebratory,0
autocrat,0
not autocrat,1
celebrity,1
not celebrity,0
autocratic,0
not autocratic,1
celestial,1
not celestial,0
avalanche,0
not avalanche,1
center,1
not center,0
avarice,0
not avarice,1
centered,1
not centered,0
avaricious,0
not avaricious,1
central,1
not central,0
avariciously,0
not avariciously,1
ceo,1
not ceo,0
avenge,0
not avenge,1
certain,1
not certain,0
averse,0
not averse,1
certainly,1
not certainly,0
aversionawful,0
not aversionawful,1
certainty,1
not certainty,0
awful,0
not awful,1
chairperson,1
not chairperson,0
awfulabnormal,0
not awfulabnormal,1
champ,1
not champ,0
awfully,0
not awfully,1
champion,1
not champion,0
awfulness,0
not awfulness,1
chance,1
not chance,0
awkward,0
not awkward,1
change,1
not change,0
awkwardness,0
not awkwardness,1
changeable,1
not changeable,0
axabysmaladversealarmingangryannoyanxiousapathyappallingatrocious,0
not axabysmaladversealarmingangryannoyanxiousapathyappallingatrocious,1
changeless,1
not changeless,0
babble,0
not babble,1
chaperone,1
not chaperone,0
back-logged,0
not back-logged,1
charisma,1
not charisma,0
back-wood,0
not back-wood,1
charismatic,1
not charismatic,0
back-woods,0
not back-woods,1
charitable,1
not charitable,0
backache,0
not backache,1
charity,1
not charity,0
backaches,0
not backaches,1
charm,1
not charm,0
backachesbackbite,0
not backachesbackbite,1
charmed,1
not charmed,0
backbite,0
not backbite,1
charmer,1
not charmer,0
backbiting,0
not backbiting,1
charming,1
not charming,0
backward,0
not backward,1
charmingly,1
not charmingly,0
backwardness,0
not backwardness,1
chaste,1
not chaste,0
backwardnessbackwoods,0
not backwardnessbackwoods,1
cheap,1
not cheap,0
backwards,0
not backwards,1
cheeky,1
not cheeky,0
backwoods,0
not backwoods,1
cheer,1
not cheer,0
bacteria,0
not bacteria,1
cheerful,1
not cheerful,0
bad,0
not bad,1
cheerfully,1
not cheerfully,0
badly,0
not badly,1
cheerfulness,1
not cheerfulness,0
baffle,0
not baffle,1
cheering,1
not cheering,0
baffled,0
not baffled,1
cheerio,1
not cheerio,0
bafflement,0
not bafflement,1
cheers,1
not cheers,0
baffling,0
not baffling,1
cheery,1
not cheery,0
bait,0
not bait,1
chemistry,1
not chemistry,0
balk,0
not balk,1
cherish,1
not cherish,0
banal,0
not banal,1
cherub,1
not cherub,0
bane,0
not bane,1
chic,1
not chic,0
banish,0
not banish,1
chief,1
not chief,0
banishment,0
not banishment,1
chieftain,1
not chieftain,0
bankrupt,0
not bankrupt,1
child,1
not child,0
barbarian,0
not barbarian,1
childish,1
not childish,0
barbaric,0
not barbaric,1
childlike,1
not childlike,0
barbarically,0
not barbarically,1
child’s,1
not child’s,0
barbarity,0
not barbarity,1
chipper,1
not chipper,0
barbarous,0
not barbarous,1
chirp,1
not chirp,0
barbarously,0
not barbarously,1
chirpy,1
not chirpy,0
barren,0
not barren,1
chivalrous,1
not chivalrous,0
baseless,0
not baseless,1
chivalry,1
not chivalry,0
bash,0
not bash,1
choice,1
not choice,0
bashed,0
not bashed,1
choose,1
not choose,0
bashful,0
not bashful,1
chortle,1
not chortle,0
bashing,0
not bashing,1
chosen,1
not chosen,0
bastard,0
not bastard,1
chuckle,1
not chuckle,0
bastards,0
not bastards,1
chum,1
not chum,0
battered,0
not battered,1
chummy,1
not chummy,0
battering,0
not battering,1
cinch,1
not cinch,0
batty,0
not batty,1
civic,1
not civic,0
bawl,0
not bawl,1
civil,1
not civil,0
bearish,0
not bearish,1
civility,1
not civility,0
beastly,0
not beastly,1
civilize,1
not civilize,0
bedlam,0
not bedlam,1
civilized,1
not civilized,0
bedlamite,0
not bedlamite,1
clairvoyant,1
not clairvoyant,0
befoul,0
not befoul,1
clarity,1
not clarity,0
beg,0
not beg,1
classic,1
not classic,0
beggar,0
not beggar,1
classical,1
not classical,0
beggarly,0
not beggarly,1
classy,1
not classy,0
begging,0
not begging,1
claus,1
not claus,0
beguile,0
not beguile,1
clean,1
not clean,0
belabor,0
not belabor,1
cleanliness,1
not cleanliness,0
belated,0
not belated,1
cleanly,1
not cleanly,0
beleaguer,0
not beleaguer,1
clear,1
not clear,0
belie,0
not belie,1
clear-cut,1
not clear-cut,0
belittle,0
not belittle,1
clear-headed,1
not clear-headed,0
belittled,0
not belittled,1
clearly,1
not clearly,0
belittling,0
not belittling,1
clebrant,1
not clebrant,0
bellicose,0
not bellicose,1
clemency,1
not clemency,0
belligerence,0
not belligerence,1
clement,1
not clement,0
belligerent,0
not belligerent,1
clever,1
not clever,0
belligerently,0
not belligerently,1
cleverly,1
not cleverly,0
bemoan,0
not bemoan,1
cleverness,1
not cleverness,0
bemoaning,0
not bemoaning,1
close,1
not close,0
bemused,0
not bemused,1
closely,1
not closely,0
bent,0
not bent,1
closeness,1
not closeness,0
berate,0
not berate,1
coequal,1
not coequal,0
bereave,0
not bereave,1
cogent,1
not cogent,0
bereavement,0
not bereavement,1
cognizance,1
not cognizance,0
bereft,0
not bereft,1
cognizant,1
not cognizant,0
berserk,0
not berserk,1
cohesive,1
not cohesive,0
beseech,0
not beseech,1
collabolator,1
not collabolator,0
beset,0
not beset,1
collaboration,1
not collaboration,0
besiege,0
not besiege,1
collaborative,1
not collaborative,0
besmirch,0
not besmirch,1
collaborator,1
not collaborator,0
bestial,0
not bestial,1
collateral,1
not collateral,0
betray,0
not betray,1
colleague,1
not colleague,0
betrayal,0
not betrayal,1
collective,1
not collective,0
betrayals,0
not betrayals,1
collector,1
not collector,0
betrayer,0
not betrayer,1
combination,1
not combination,0
betraying,0
not betraying,1
comely,1
not comely,0
betrays,0
not betrays,1
comfort,1
not comfort,0
bewail,0
not bewail,1
comfortable,1
not comfortable,0
beware,0
not beware,1
comforter,1
not comforter,0
bewilder,0
not bewilder,1
comfy,1
not comfy,0
bewildered,0
not bewildered,1
comic,1
not comic,0
bewildering,0
not bewildering,1
comical,1
not comical,0
bewilderingly,0
not bewilderingly,1
commander,1
not commander,0
bewilderment,0
not bewilderment,1
commanding,1
not commanding,0
bewitch,0
not bewitch,1
commend,1
not commend,0
bias,0
not bias,1
commendable,1
not commendable,0
biased,0
not biased,1
commendably,1
not commendably,0
biases,0
not biases,1
commendatory,1
not commendatory,0
bicker,0
not bicker,1
commitment,1
not commitment,0
bickering,0
not bickering,1
committed,1
not committed,0
bid-rigging,0
not bid-rigging,1
communion,1
not communion,0
bigotries,0
not bigotries,1
community,1
not community,0
bigotry,0
not bigotry,1
compact,1
not compact,0
bird-brained,0
not bird-brained,1
compacted,1
not compacted,0
bitch,0
not bitch,1
companion,1
not companion,0
bitchy,0
not bitchy,1
companionship,1
not companionship,0
biting,0
not biting,1
company,1
not company,0
bitingly,0
not bitingly,1
compassion,1
not compassion,0
bitter,0
not bitter,1
compassionate,1
not compassionate,0
bitterly,0
not bitterly,1
compelling,1
not compelling,0
bitterness,0
not bitterness,1
complement,1
not complement,0
bizarre,0
not bizarre,1
complete,1
not complete,0
blab,0
not blab,1
completely,1
not completely,0
blabber,0
not blabber,1
compliment,1
not compliment,0
blackmail,0
not blackmail,1
compose,1
not compose,0
blah,0
not blah,1
comprehension,1
not comprehension,0
blame,0
not blame,1
comprehensive,1
not comprehensive,0
blameworthy,0
not blameworthy,1
concentrate,1
not concentrate,0
bland,0
not bland,1
concentrated,1
not concentrated,0
blandish,0
not blandish,1
concentration,1
not concentration,0
blaspheme,0
not blaspheme,1
concert,1
not concert,0
blasphemous,0
not blasphemous,1
conciliate,1
not conciliate,0
blasphemy,0
not blasphemy,1
conciliation,1
not conciliation,0
blasted,0
not blasted,1
conciliatory,1
not conciliatory,0
blatant,0
not blatant,1
concise,1
not concise,0
blatantly,0
not blatantly,1
conclusive,1
not conclusive,0
blather,0
not blather,1
conclusively,1
not conclusively,0
bleak,0
not bleak,1
concordance,1
not concordance,0
bleakly,0
not bleakly,1
concordant,1
not concordant,0
bleakness,0
not bleakness,1
concrete,1
not concrete,0
bleed,0
not bleed,1
condole,1
not condole,0
bleeding,0
not bleeding,1
condolence,1
not condolence,0
bleeds,0
not bleeds,1
conductor,1
not conductor,0
blemish,0
not blemish,1
confidant,1
not confidant,0
blind,0
not blind,1
confide,1
not confide,0
blinding,0
not blinding,1
confidence,1
not confidence,0
blindingly,0
not blindingly,1
confident,1
not confident,0
blindside,0
not blindside,1
confirm,1
not confirm,0
blister,0
not blister,1
confirmation,1
not confirmation,0
blistering,0
not blistering,1
congenial,1
not congenial,0
blizzardy,0
not blizzardy,1
congrats,1
not congrats,0
bloated,0
not bloated,1
congratulate,1
not congratulate,0
blockage,0
not blockage,1
congratulations,1
not congratulations,0
blockhead,0
not blockhead,1
congruous,1
not congruous,0
bloodshed,0
not bloodshed,1
conjunction,1
not conjunction,0
bloodthirsty,0
not bloodthirsty,1
connect,1
not connect,0
bloody,0
not bloody,1
connected,1
not connected,0
blotchy,0
not blotchy,1
connectedness,1
not connectedness,0
blow,0
not blow,1
connection,1
not connection,0
blunder,0
not blunder,1
connoisseur,1
not connoisseur,0
blundering,0
not blundering,1
conquer,1
not conquer,0
blunders,0
not blunders,1
conquest,1
not conquest,0
blunt,0
not blunt,1
conscious,1
not conscious,0
blur,0
not blur,1
consciousness,1
not consciousness,0
blurred,0
not blurred,1
consensual,1
not consensual,0
blurring,0
not blurring,1
consequential,1
not consequential,0
blurry,0
not blurry,1
consider,1
not consider,0
blurs,0
not blurs,1
considerate,1
not considerate,0
blurt,0
not blurt,1
consist,1
not consist,0
boastful,0
not boastful,1
consistency,1
not consistency,0
boggle,0
not boggle,1
consistent,1
not consistent,0
bogus,0
not bogus,1
consistently,1
not consistently,0
boil,0
not boil,1
constant,1
not constant,0
boiling,0
not boiling,1
constantly,1
not constantly,0
boisterous,0
not boisterous,1
constructive,1
not constructive,0
bomb,0
not bomb,1
consul,1
not consul,0
bombard,0
not bombard,1
consultant,1
not consultant,0
bombardment,0
not bombardment,1
content,1
not content,0
bombastic,0
not bombastic,1
contented,1
not contented,0
bondage,0
not bondage,1
contentment,1
not contentment,0
bonkers,0
not bonkers,1
contrast,1
not contrast,0
boorish,0
not boorish,1
contribute,1
not contribute,0
bore,0
not bore,1
contribution,1
not contribution,0
bored,0
not bored,1
contributor,1
not contributor,0
boredom,0
not boredom,1
control,1
not control,0
bores,0
not bores,1
convenience,1
not convenience,0
boring,0
not boring,1
convenient,1
not convenient,0
bossy,0
not bossy,1
conveniently,1
not conveniently,0
botch,0
not botch,1
conversant,1
not conversant,0
bother,0
not bother,1
conversation,1
not conversation,0
bothered,0
not bothered,1
converse,1
not converse,0
bothering,0
not bothering,1
convert,1
not convert,0
bothers,0
not bothers,1
converted,1
not converted,0
bothersome,0
not bothersome,1
convey,1
not convey,0
bowdlerize,0
not bowdlerize,1
conviction,1
not conviction,0
boycott,0
not boycott,1
convince,1
not convince,0
braggart,0
not braggart,1
convincing,1
not convincing,0
bragger,0
not bragger,1
convivial,1
not convivial,0
brainless,0
not brainless,1
conviviality,1
not conviviality,0
brainwash,0
not brainwash,1
cool,1
not cool,0
brash,0
not brash,1
cool-headed,1
not cool-headed,0
brashly,0
not brashly,1
cooperate,1
not cooperate,0
brashness,0
not brashness,1
cooperation,1
not cooperation,0
brat,0
not brat,1
cooperative,1
not cooperative,0
bravado,0
not bravado,1
copacetic,1
not copacetic,0
brazen,0
not brazen,1
cope,1
not cope,0
brazenly,0
not brazenly,1
copious,1
not copious,0
brazenness,0
not brazenness,1
cordial,1
not cordial,0
breach,0
not breach,1
cordially,1
not cordially,0
break,0
not break,1
cornerstone,1
not cornerstone,0
break-up,0
not break-up,1
corporation,1
not corporation,0
break-ups,0
not break-ups,1
correct,1
not correct,0
breakdown,0
not breakdown,1
correctly,1
not correctly,0
breaking,0
not breaking,1
coruscant,1
not coruscant,0
breaks,0
not breaks,1
cosmic,1
not cosmic,0
breakup,0
not breakup,1
cost-effective,1
not cost-effective,0
breakups,0
not breakups,1
cosy,1
not cosy,0
bribery,0
not bribery,1
could,1
not could,0
brimstone,0
not brimstone,1
counsel,1
not counsel,0
bristle,0
not bristle,1
counselor,1
not counselor,0
brittle,0
not brittle,1
courage,1
not courage,0
broke,0
not broke,1
courageous,1
not courageous,0
broken,0
not broken,1
courageously,1
not courageously,0
broken-hearted,0
not broken-hearted,1
courteous,1
not courteous,0
brood,0
not brood,1
courtesy,1
not courtesy,0
browbeat,0
not browbeat,1
courtly,1
not courtly,0
bruise,0
not bruise,1
covenant,1
not covenant,0
bruised,0
not bruised,1
coy,1
not coy,0
bruises,0
not bruises,1
coyness,1
not coyness,0
bruising,0
not bruising,1
cozy,1
not cozy,0
brusque,0
not brusque,1
crack,1
not crack,0
brutal,0
not brutal,1
crackerjack,1
not crackerjack,0
brutalities,0
not brutalities,1
craft,1
not craft,0
brutality,0
not brutality,1
craftsman,1
not craftsman,0
brutalize,0
not brutalize,1
craftsmanship,1
not craftsmanship,0
brutalizing,0
not brutalizing,1
cratfy,1
not cratfy,0
brutally,0
not brutally,1
cream,1
not cream,0
brute,0
not brute,1
creamy,1
not creamy,0
brutish,0
not brutish,1
create,1
not create,0
buckle,0
not buckle,1
creation,1
not creation,0
bug,0
not bug,1
creative,1
not creative,0
bugging,0
not bugging,1
creativity,1
not creativity,0
buggy,0
not buggy,1
creator,1
not creator,0
bugs,0
not bugs,1
credence,1
not credence,0
bulimia,0
not bulimia,1
credential,1
not credential,0
bulkier,0
not bulkier,1
credibility,1
not credibility,0
bulkiness,0
not bulkiness,1
credible,1
not credible,0
bulky,0
not bulky,1
credit,1
not credit,0
bull****,0
not bull****,1
creditable,1
not creditable,0
bullies,0
not bullies,1
crew,1
not crew,0
bulls,0
not bulls,1
crowd,1
not crowd,0
bulls..t,0
not bulls..t,1
crowd-pleaser,1
not crowd-pleaser,0
bullshit,0
not bullshit,1
crowd-puller,1
not crowd-puller,0
bully,0
not bully,1
crucial,1
not crucial,0
bullying,0
not bullying,1
crystal,1
not crystal,0
bullyingly,0
not bullyingly,1
crystal-clear,1
not crystal-clear,0
bull—-,0
not bull—-,1
crystalize,1
not crystalize,0
bum,0
not bum,1
cucumber,1
not cucumber,0
bump,0
not bump,1
cuddle,1
not cuddle,0
bumped,0
not bumped,1
cuddlesome,1
not cuddlesome,0
bumping,0
not bumping,1
cuddly,1
not cuddly,0
bumps,0
not bumps,1
culminate,1
not culminate,0
bumpy,0
not bumpy,1
culmination,1
not culmination,0
bungle,0
not bungle,1
cultural,1
not cultural,0
bungler,0
not bungler,1
culture,1
not culture,0
bungling,0
not bungling,1
cultured,1
not cultured,0
bunk,0
not bunk,1
cunning,1
not cunning,0
burden,0
not burden,1
cunningly,1
not cunningly,0
burdensome,0
not burdensome,1
cupid,1
not cupid,0
burdensomely,0
not burdensomely,1
curator,1
not curator,0
burn,0
not burn,1
cure,1
not cure,0
burned,0
not burned,1
cure-all,1
not cure-all,0
burning,0
not burning,1
curiosity,1
not curiosity,0
burns,0
not burns,1
curious,1
not curious,0
bust,0
not bust,1
current,1
not current,0
busts,0
not busts,1
curvaceous,1
not curvaceous,0
busybody,0
not busybody,1
cushion,1
not cushion,0
butcher,0
not butcher,1
cushy,1
not cushy,0
butchery,0
not butchery,1
cute,1
not cute,0
buzzing,0
not buzzing,1
da,1
not da,0
byzantine,0
not byzantine,1
dainty,1
not dainty,0
cackle,0
not cackle,1
dandle,1
not dandle,0
cagey,0
not cagey,1
dandy,1
not dandy,0
calamities,0
not calamities,1
danke,1
not danke,0
calamitous,0
not calamitous,1
danken,1
not danken,0
calamitously,0
not calamitously,1
dapper,1
not dapper,0
calamity,0
not calamity,1
daring,1
not daring,0
calculating,0
not calculating,1
daringly,1
not daringly,0
callous,0
not callous,1
darling,1
not darling,0
calumniate,0
not calumniate,1
dashing,1
not dashing,0
calumniation,0
not calumniation,1
dauntless,1
not dauntless,0
calumnies,0
not calumnies,1
dazzle,1
not dazzle,0
calumnious,0
not calumnious,1
dazzled,1
not dazzled,0
calumniously,0
not calumniously,1
dazzling,1
not dazzling,0
calumny,0
not calumny,1
dead,1
not dead,0
can't,0
not can't,1
dead-cheap,1
not dead-cheap,0
cancer,0
not cancer,1
dead-on,1
not dead-on,0
cancerous,0
not cancerous,1
dear,1
not dear,0
cannibal,0
not cannibal,1
debonair,1
not debonair,0
cannibalize,0
not cannibalize,1
decency,1
not decency,0
capitulate,0
not capitulate,1
decent,1
not decent,0
capricious,0
not capricious,1
decisive,1
not decisive,0
capriciously,0
not capriciously,1
decisiveness,1
not decisiveness,0
capriciousness,0
not capriciousness,1
decorous,1
not decorous,0
capsize,0
not capsize,1
dedicated,1
not dedicated,0
careless,0
not careless,1
deductive,1
not deductive,0
carelessness,0
not carelessness,1
deep,1
not deep,0
caricature,0
not caricature,1
defeat,1
not defeat,0
carnage,0
not carnage,1
defeating,1
not defeating,0
carp,0
not carp,1
defender,1
not defender,0
cartoonish,0
not cartoonish,1
deference,1
not deference,0
cash-strapped,0
not cash-strapped,1
definite,1
not definite,0
castigate,0
not castigate,1
definitive,1
not definitive,0
castrated,0
not castrated,1
deft,1
not deft,0
casualty,0
not casualty,1
delectable,1
not delectable,0
cataclysm,0
not cataclysm,1
deliberate,1
not deliberate,0
cataclysmal,0
not cataclysmal,1
delicacy,1
