review_id,text,label,platform,date
R0023,เพิ่งไปพักโซนนี้มาช่วงเดือนกันยารู้สึกว่าอาหารเช้ารสชาติไม่ว้าวเหมือนกันค่ะ แล้วพนักงานแอบละเลยแขกไปนิดนึง ตอนออกเกือบโดนชาร์จค่าminibarในห้องทั้งที่ไม่ได้กิน แต่ห้องพักกับบรรยากาศคือดีเลยค่ะ,1,facebook,3/24/2020
R0024,"เราไปพักโซนวิลล่ามา 2 คืนค่ะ
เบ็ดเสร็จเฉพาะค่าที่พักก็ 47,000 นิดๆ เราคิดว่า จ่ายราคาขนาดนี้ น่าจะมีบริการหรืออ๊อฟชั่นเสริมอะไรให้บ้าง

เราไม่ประทับใจการบริการค่ะ
พนักงานไม่ค่อยบริการอะไรใดๆเลย
อาหารเช้าธรรมดามากๆ มากๆจริงๆค่ะ มีให้เลือกน้อย
เราให้คะแนนเต็ม 10 แค่เรื่องวิว + ที่พักไม่โทรม สวยค่ะ

ตอนเราไปเช็คเอาท์ มีแขกที่ไม่รู้ว่ามีการคิดค่าบริการรถกอล์ฟด้วย โดนไปเท่าไหร่ไม่แน่ใจ แขกก็ไม่ค่อยพอใจอยู่เหมือนกันค่ะ แต่ก็ยอมจ่ายๆไป เพราะไม่น่ามีพนักงานแจ้งว่ามีค่าใช้จ่ายด้วย มารู้ทีหลัง

แต่เรื่องวิว เราให้คะแนนเต็มสิบค่ะ",1,facebook,4/13/2022
R0025,Rattana มาดูๆๆ รีวิวทอสคาน่า,1,facebook,4/17/2025
R0026,สวยงาม น่าไปพักมากครับ,1,facebook,1/15/2025
R0027,รีวิวน่ารัก ภาพสวยมากค่ะ,1,facebook,5/19/2023
R0028,จองที่พักได้ที่ไหนคะ จองตรงไหมคะ,1,facebook,7/22/2024
R0029,ร้านอาหารคนเยอะมากจริงค่ะ เราพักที่ทาวสแควร์ ดีที่เขาจัดโต๊ะด้านนอกไว้เยอะมาก แต่ก็ต้องหลีกเวลาคนเยอะค่ะ ไปทานช่วงเกือบ 10 โมงแล้ว เพราะช่วงนี้คน 80% ของโรงแรมเลย คนไทยอยากเที่ยวมาก,1,facebook,8/6/2018
R0030,รร.นี้ลูกสาวชอบมากค่ะ 18-20​ ต.ค.​นี้ก้อจะไปอีกรอบค่ะ​ ใกล้บ้านบรรยากาศ​ดี​,1,facebook,1/29/2024
R0031,เก๊าอยากไปอีก รีวิวก็บอกว่าดี,1,facebook,12/6/2020
R0032,มาดูๆๆ รีวิวทอสคาน่าค่ะ อีก 1 ตัวเลือก,1,facebook,10/27/2024
R0033,วิวสวยยยย,1,facebook,2/9/2020
R0034,แต่เราไปมา โซนในสุดพนักงานต้อนรับ พูดจาไม่ดีกับลูกค้าเลย และห้องพักโรงแรมฝุ่นเยอะมากค่ะ,1,facebook,9/24/2022
R0035,เราชอบมากเลยค่ะปั่นจักรยานที่นี่ รู้สึกไม่เหมือนอยู่ในไทยเลย วิวดีมากๆ,1,facebook,3/20/2019
R0036,วันนี้ถูกหวยจองเลย,1,facebook,11/22/2023
R0037,"วิวสนามเด็กเล่นก็สวยค่ะ 
ไป2วันถ่ายรูปไม่หมด อดปั่นจักรยาน คราวหน้าค้องไม่พลาดแน่ค่ะ

https://scontent.fbkk12-4.fna.fbcdn.net/v/t39.30808-6/481076131_23965599389707389_7585287136420871993_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=Zqm32vnva2sQ7kNvwHMTJlA&_nc_oc=AdllDo8_2DzvSYpE8xBsUfMxanOwET3THFF66hHAEcTNDEicdMTN06MoriJUnV99UjWbKON5WakM7PIIIHAM5K3m&_nc_zt=23&_nc_ht=scontent.fbkk12-4.fna&_nc_gid=dPBMVCJD8wE0aAlFtob1Lw&oh=00_AfGWpH_ocSEsmngw0nl-gkHuQ7NcsFvBlb9eC-LXUzI04g&oe=68184562",1,facebook,8/27/2023
R0038,ชอบอาหารเช้าบุฟเฟ่ย์555,1,facebook,2/19/2024
R0039,เป็นโรงแรมที่วิวสวยและเงียบสงบมากเหมาะกับการพักผ่อนจริงๆค่ะ,1,facebook,6/16/2020
R0040,ให้บรรยากาศเมืองนอกมาก555,1,facebook,1/16/2020
R0041,จองละนะ,1,facebook,2/22/2021
R0042,ชอบรีวิวแบบนี้มากครับ,1,facebook,7/21/2021
R0043,ปักหมุดดด วิวเหมือนอยู่ ตปท.,1,facebook,2/17/2025
R0044,ก่อนปีใหม่ไปจิบไวน์บรรยากาศดีๆกันไหม,1,facebook,4/3/2020
R0045,ที่ปั่นจักรยานวิวสวยมากกกก,1,facebook,3/15/2021
R0046,อันนี้มีปั่นจักรยานแบบชิว วิวสวยมากก,0,facebook,4/14/2023
R0047,สวยมากบรรยากาศดีมากๆเลย,1,facebook,2/23/2024
R0048,ขออนุญาตสอบถามถ้าหากไปถ่ายรูปชมวิว โดยไม่ได้เข้าพักสามารทำได้รึเปล่าครับ,1,facebook,11/17/2023
R0049,ชอบทุกอย่างบกเว้นอาหารเช้าอีกเสียงค่ะ มีให้เลือกทานน้อย ห้องอาหารเล็ก,1,facebook,12/24/2024
R0050,February Sine บรรยากาศดี,1,facebook,10/19/2023
R0051,เกินบรรยาย,1,facebook,2/20/2019
R0052,ติดอย่างเดียวอาหารเช้าเฉยๆมาก,1,facebook,8/19/2021
R0053,ไปพักที่นี่สองครั้งแล้วค่ะ ชอบพื้นที่ของเค้าและความเป็นอิสระของการเข้าพักที่นี่ค่ะ,1,facebook,3/10/2021
R0054,สวยมากๆเลยค่ะ รีวิวได้สวยมาก ทำให้อยากไปเลยค่ะ,1,facebook,7/8/2018
R0055,"วิวดีมากจริงๆค่ะ

https://scontent.fbkk8-4.fna.fbcdn.net/v/t39.30808-6/470170677_1483287872629150_8914737837191901800_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=niwq0-UbrfIQ7kNvwFtabnX&_nc_oc=Adl6KdFj1hYMYZMVOhv2u1cbmuSkxS63ffWK8xmmw4mvfbXGBRv4Wvdv14vpPJCdnKnwCX5PPD4XflGEdDftYdrq&_nc_zt=23&_nc_ht=scontent.fbkk8-4.fna&_nc_gid=HweCT7rpNGCYccHfJMDKPQ&oh=00_AfFj89XfohPQVxY9MYC3woe-wev0osC_2lnsPEdLGEBiAQ&oe=681832CC",1,facebook,2/3/2023
R0056,มีเช็คความปลอดภัยโควิดก่อนเข้าพักมั้ยคะ เช่นดูวัคซีนหรือตรวจatk มั้ยคะ,1,facebook,11/15/2020
R0057,สอบถามค่ะ จองผ่านแอพอะไรไปค่ะ,1,facebook,8/20/2024
R0058,Mintt Kanyaratอยากปั่นจักรยาน วิวดี,1,facebook,8/20/2023
R0059,... มื้ออาหารอื่นจองโต๊ะแทบไม่ได้ คิวเวลายาว เลยสั่งมาทานในห้องแทน คนทานที่โรงแรมเยอะมากๆ ช่วงนี้ ... เราซื้อคูปองไว้สองปีก่อน เจอการปิดโรงแรมเพราะโควิด เพิ่งมาเปิดเลยได้ใช้,1,facebook,9/5/2020
R0060,ตอนนี้มีเราเที่ยวด้วยกันราคาถูกลงไปอีก คนเลยน่าจะยิ่งเยอะขึ้น ที่นี่โชคดีสถานที่กว้างขวางค่ะ แต่จะห่วงตรงจุดห้องอาหารที่คนแออัดนี่แหละ,1,facebook,5/1/2021
R0061,ทุกอย่างแสงเหลืองนวลไปหมด เหมือนหลุดไปอีกโลกเลย ประทับใจมากๆๆๆๆๆ,1,facebook,3/13/2021
R0062,คนมาฮิตที่นี่เพราะอยากได้ธรรมชาติกัน,0,facebook,4/12/2024
R0063,กิจกรรมคนรวยคนพอมีพอกินแบบเราเอื้อมไม่ถึงหรอก เหอะๆ,1,facebook,1/20/2025
R0064,เราว่าราคาก็สมเหตุสมผลนะ ก็ไม่ได้แพงอะไรมากสำหรับคนมีตังค์นะ เค้าคงวางตลาดไว้แล้วว่าจะจับลูกค้ากลุ่มไหน,1,facebook,10/30/2020
R0065,สวยดี เหมือนต่างประเทศเลย แต่อากาศคงไม่ได้อะ บ้านเราร้อนตับแตก แถมราคาแอบแพงงงง หลักหมื่นขนาดนี้ไปต่างประเทศคุ้มกว่านะ,1,facebook,1/30/2022
R0066,ดูสวยอยู่แต่แบบปลอมๆอ่ะ ทัวร์ตปท.เด๋วนี้ถูกมาก กิน พัก เดินทางรวมทุกอย่าง ลองหาดูดีๆ อาจจ่ายถูกกว่าไปเอง ทำมาแล้วทุกแบบ ทัวร์กับบริษัทนำเที่ยวถูกใจ ถูกตังค์สุดแล้ว,1,facebook,9/3/2021
R0067,"Toscana คือสวยจริง ๆ แบบเหมือนไม่อยู่ไทย 
ถ้าอากาศเย็นนี้คงสุดมากกว่านี้",1,facebook,9/12/2024
R0068,ราคาแบบนีเก็บเงินไปยุโรปดีกว่าพักได้นะแต่ไม่อะ,1,facebook,7/31/2022
R0069,ทั้งแม่นำ้และภูเขาที่เป็นสาธารณะ​สมบัติ​ของชาติ​ถูก​นายทุน​ฉวยโอกาส​เป็น​เจ้าของ.. เห็น​แล้วเศร้าใจ.อนุมัติ​ให้​สร้าง​ได้ไง​ มีเงินยังไงก็​ไม่​ขอไปพักค่ะ,1,facebook,2/21/2020
R0070,ตลกกกกกกก ที่พักสไตล์โมรอคโค แต่ใส่ส่าหรี่ 555555+,1,facebook,2/20/2019
R0071,ขอไปเขาใหญ่ละกัน แต่ไปพักที่วังน้ำเขียวถูกฝ่ากันเยอะเลย,1,facebook,10/21/2022
R0072,อมัน ยูนิค ไปพักมาแล้ว สวยมากครับ ราคาไม่แพง มีรถรับส่งฟรีจากสถานที่สำคัญๆทั่วเมืองอุดรฯครับ,1,facebook,7/20/2021
R0073,แพงวันเดียวค่าพักค่ากินค่าอยุ่ค่านุ่นี้นั้นหลายย่าง ปาไปเกียบ2หมื่อนล่ะมังนิไป ต ป ท เสียที่เดียวจบถูกด้วยอากาสบรรยกาศจิงฟินกว่า ไปกับทัวร์ เป็นอาทิตย์,1,facebook,10/24/2021
R0074,เอาที่หลวง มาทำที่พักเฉย ทั้งแม่น้ำ ทั้งภูเขา ไม่เห็นเจ้าหน้าที่รัฐมาจัดการไร คนรวยทำไรก็ได้นะประเทศนี้,1,facebook,4/12/2023
R0075,ชอบน่ะมีแหล่งท่องเที่ยว..แต่ที่ไม่ชอบ คือ มันสร้างได้ยังไงในแหล่งป่าและธรรมชาติ ในน้ำอีก ที่ดินมันซื้อขายกันได้ด้วยหรอ เข้าไปครอบครองแบบนั้นได้ยังไงใครเป็นคนกำหนดให้เข้าไปใช้พื้นที่นั้นๆ.ถ้ารัฐบาลเข้าไปลงทุนเองก็ว่าไปอย่าง.แล้วที่สำคัญ หากินกับธรรมชาติและอยู่ในประเทศตัวเองแท้ๆดันตั้งราคาสะโอเวอ เที่ยวของแท้ไม่เห็นแพงขนาดนี้เลย.,1,facebook,12/14/2020
R0076,โอัแม่เจ้า ค่าที่พักบางแห่งแพงยิ่ง กว่าไปเที่ยวญี่ปุ่น5วันเสียอีก ไปเที่ยวต่างประเทศไม่ดีกว่าเหรอ เอาไว้ให้เจ้าของมันพักเองเหอะ.,1,facebook,1/10/2023
R0077,สวยทุกที่ น่าไปทุกที่,1,facebook,4/18/2023
R0078,ได้ยินว่าถ้ารถติดมากถ้าไป,1,facebook,5/12/2022
R0079,ไปเจอช่วงสวยก็สวย เจอช่วงปรับปรุงก็จ๋อยเลย ไปอาน่าตุลาที่ผ่านมา เอิ่ม สระว่ายน้ำกลางสวนน้ำบอกเลยขุ่นฝุ่นลอยน่าสยองมาก สระบนก็ปิดปรับปรุง แต่ก็ยังมี นั่งเรือขมหิ่งห้อยฟรี เรือพายฟรี ถ้าปรับปรุงดีๆ สวยยุน่ะ,1,facebook,5/14/2024
R0080,สวยสุดๆน่าพักมากมาย..ไม่อยากเชื่อเลยว่าเมืองไทยเราที่พักสวยๆเช่นนี้...คนออกเเบบเก่งมากๆใช้ความเป็นศิลปความคิดสร้างสรรค์ออกเเบบได้โดดเด่นมากๆ,1,facebook,7/19/2022
R0081,สวยทุกที่ค่ะ,1,facebook,10/12/2020
R0082,สวยงามมากมายทุกที่น่ามาเยือนค่ะ,1,facebook,8/23/2025
R0083,ไปเที่ยว​เมือง​กาญจน์​ทุกปีเปลี่ยบที่พักผ่อน​ไปเรื่อยจองจากงานท่องเที่ยวไทยราคาพิเศษ​สุด​ๆ,1,facebook,7/8/2021
R0084,สวยจริง เเต่บรรยากาศไม่ได้,1,facebook,9/19/2022
R0085,สดชื่นมากๆ....,1,facebook,3/15/2021
R0086,สวยงามทุกที่ค่ะ,1,facebook,1/23/2018
R0087,ยอดเยี่ยมมากๆๆ,1,facebook,12/5/2023
R0088,สวยงามจริงๆครับ อยากไปที่พัก กาญจนบุรีจริงๆ ชอบครับ,1,facebook,8/20/2023
R0089,เอาจริงๆ จ่ายครั้งเดียวจบ กินเที่ยวเกือบอาทิตย์​ ถ้าไปเองยิ่งถูกมากๆหาข้อมูลดีๆจองบินล่วงหน้า​ ถ้าอยากได้ฟีลสวิสไปจอร์เจียฟรีวีซ่า​ค่าครองชีพถูกพอกะไทย​,1,facebook,10/23/2020
R0090,สวยงามมากคะขอบคุณ,1,facebook,10/23/2020
R0091,เหมือนคะ ราคากะเหมือนกับไปตปท.เหมือนกันเลยคะ,1,facebook,7/4/2022
R0092,ขอบคุณวิดีโอที่ดีครับสวยงามมากๆ,1,facebook,11/3/2024
R0093,สวยค่ะ,1,facebook,11/18/2023
R0094,ชอบตัดต่อภาพแบบนี้จัง,1,facebook,2/8/2022
R0095,สวยมากเลยค่ะ,1,facebook,9/19/2021
R0096,สุดยอด,1,facebook,1/3/2024
R0097,สวยจังเลย,1,facebook,2/22/2024
R0098,เยื่ยมมากค่ะ,1,facebook,11/28/2023
R0099,คนรวยซื้อ คนรวยสร้าง ให้คนรวยเที่ยว!!!!,1,facebook,8/25/2019
R0100,บรรยากาศดีมากครับ,1,facebook,3/3/2020
R0101,"แต่ละที่หรูหราน่าเที่ยวทั้งนั้นแต่พอขับรถออกมาปากทางก็อาจจะเจอคนแก่แต่งตัวมอซอขับซาเล้งหาเก็บของเก่า สักพักก็อาจจะเจอคนหาเช้ากินคำ่รับจ้างรายวันตาแก่ๆเดินหาบขายของตามข้างทางหรือแยกไฟแดงที่มีคนขับทั้งรถเบนซ์บี้เอ็ม หรือบางทีก็จะเจอคนงานก่อสร้างหน้าตามอมแมมนั่งๆนอนบนท้ายรถบรรทุกหลังกลับจากทำงาน ถ้าเราไปสถานที่ท่องเที่ยวหรูหราแบบนั้นแล้วผ่านออกมาเจอคนเหล่านี้ ความสุขเราคงมลายหายไปทันที ที่เหล่านี้คือที่ๆทำไว้ให้คนมีอันจะกินไปสังสรรค์กันเท่านั้นคนจนๆคงได้แต่ฝันลมๆแล้งๆ
แล้วแม่นำ้ ภูเขา ไม่รู้ได้รับอณุญาติให้ก่อสร้างได้ยังไง โดยเฉพาะในเขื่อน ซึ่งเป็นต้นน้ำในการอุปโภคบริโภคของชาวบ้าน ไม่รู้อณุญาติให้ก่อสร้างกันได้ยังไง บำบัดนำ้เสียกันได้มาตรฐานขนาดใหน มันทำลายสภาพแวดล้อมและทัศนีสภาพทางธรรมชาติมาก ทรัพยากรสถานที่ท่องเที่ยวในเมืองไทยยิ่งน้อยๆอยู่แทนที่จะอนุรักษณ์ความเป็นธรรมชาติไว้ให้ได้มากที่สุด",1,facebook,8/27/2022
R0102,น่าจะบุกรุกพื้นที่ป่าหลายจุด ตรวจจริงๆน่าจะเจอ!!! ว่าแต่ประเทศไทยเอาจริงแค่ไหน...ถ้าไม่มีใครขุดคุ้ย ก็เงียบกริ๊บ!! ดูซิ! ที่ป่าที่เขาแม่น้ำลำธารทั้งนั้น!!!.,1,facebook,11/10/2022
R0103,ชอบเลย ทำคลิปวีดีโออีกนะคะ จะตามทริปไปเที่ยวด้วย,1,facebook,10/24/2024
R0104,สวยค่ั,1,facebook,4/6/2024
R0105,สวย และราคาแรง,1,facebook,9/28/2022
R0106,ที่พัทยาก็มีคล้าย Toscana เรียกว่า Silver Lake แต่ไม่ใหญ่นะ แต่ไวน์เค้าแพงมาก แพงกว่าไวนนอกอีก,1,facebook,4/27/2022
R0107,"สวยแต่ราคาแรงไปเที่ยวในไทย3วัน2คืนใช้เงิน2,3หมื่นไปตปทเลยดีกว่าไม๊",1,facebook,5/1/2019
R0108,"พัทลุง บ้านผมมีที่งาม ๆเหมือน
มลรัฐเท็กซัส เชียวแหละ",1,facebook,3/10/2025
R0109,"แต่ละที่ น่าไปนะ
แต่....ราคาแพงเวอรรรรร์",1,facebook,4/23/2021
R0110,"ต้องตามไปเที่ยว เลยค่ะ 
ขอบคุณมากนะคะ ที่ทำคลิปดีๆ ให้ดู ค่ะ",1,facebook,7/21/2023
R0111,ชอบ​,1,facebook,3/5/2020
R0112,เดี๋ยวนี้เชียงใหม่อากาศเลวร้ายอันดับ 1 ของโลก,1,facebook,8/30/2022
R0113,ว้าววววมากค่ะ,1,facebook,11/8/2020
R0114,จะต้องมีกาญจนบุรีร่วมด้วยทุกคลิป,1,facebook,4/26/2023
R0115,บาหลี กับอังกฤษ น่าจะถูกสุด,1,facebook,2/21/2024
R0116,สถานที่สวยทุกที่ แต่ค่าใช้จ่ายสูงเกินงบค่ะ,1,facebook,5/21/2018
R0117,ทำงานทั้งเดือน พักได้ 2 วันเงินเดือนหมดเลย ราคาแบบคนทั่วไปเอื้อมไม่ถึงจริง,1,facebook,9/23/2020
R0118,ทุกสถานที่ อยู่บนเขา และ ในน้ำ ที่คนธรรมดาไม่สามารถครอบครองได้ แล้วนายทุนเขาครอบครองได้ยังไงเนอะ,1,facebook,10/22/2020
R0119,สวยงามก็จริงถ้ามองเฉิงอณุรักษกินพื้นที่ธรรมชาติทั้งนั้นเป็นความหรูหราจำเป็นคนที่มีอันจะกินพวกนี้เหมารวมและแยกแยะมนุษย์ดี&ไมีดีขออะภัยที่ออกความเห็นจากคนรักษธรรมชาติ,1,facebook,9/2/2024
R0120,ทำไมต้องไปเทียบเมืองนอกบ้านเราก็เป็นหนึ่งอยู่แล้ว ว่าไหมครั,1,facebook,2/21/2019
R0121,อยากเที่ยวเมืองอังกฤษในเขาค้อแล้วอะ ไกลมาก ไม่ได้ไปเลย กลัวโควิดมาก,0,facebook,8/14/2020
R0122,อยู่ปักษ์ใต้ ถ้าจะไปเที่ยวราคาก็สูงเหมือนไปต่างประเทศ รวมค่าโรงแรม ค่ารถ อื่นๆ ก็คงหมื่นกว่า,1,facebook,10/22/2020
R0123,ไปมาแล้วววววววววววววววววววววว,1,facebook,12/18/2021
R0124,เที่ยวเมืองนอกดีกว่าอีกค่ะ แพงเกิน,1,facebook,9/13/2024
R0125,ก็มันราคาแบบนี้ไง​ หลายคนถึงเลือกไปเที่ยวเมืองนอก,1,facebook,7/9/2023
R0126,ราคาไม่ปราณีคนไทยกันบ้างเลย,0,facebook,6/10/2023
R0127,รู้ว่าโกงยั้งจะไปช่วยโกงอีก,1,facebook,8/19/2023
R0128,ถูกหวยรางวัลที่หนึ่งจะไปทุกที,1,facebook,2/17/2025
R0129,เขาว่าไม่เมือน สู้เขาใหญ่ไม่ได้เขาใหญ่เมืองจำลองต่างประเทสเยอะที่สุด,1,facebook,12/2/2021
R0130,ชอบที่สุดเลยสถานที่ท่องเที่ยวในเมืองไทย..แต่ที่ไม่ชอบก็คือ..ตังในกระเป๋ามีไม่พอจะไปเที่ยวแบบนี้คับ,1,facebook,5/8/2025
R0131,มัลดีฟ หรอ เขียวเชียว....,1,facebook,9/5/2021
R0132,ราคาขนาดนี้..ไปทัวต่างประเทศคุ้มกว่าอะ,1,facebook,5/4/2023
R0133,น่าไปครับ,1,facebook,10/28/2024
R0134,"ปลอมกันเข้าไป..
ไม่มีความเป็นชาตินิยม 
แถมแพงอย่างนี้ ไปเที่ยวของจริงดีกว่า ถูกกว่า!",1,facebook,4/17/2024
R0135,สวยค่ะ สวยทุกที่ ขอบคุณที่แนะนำค่ะ ชอบพิเศษที่พักที่แบบญี่ปุ่น,1,facebook,5/31/2020
R0136,อยากไปเทื่ยวจังเลยค่ะ,0,facebook,12/8/2020
R0137,ลองไปที่อำเภอโขงเจียม จังหวัดอุบลราชธานี สวย,1,facebook,3/4/2019
R0138,ถูกกว่านี้จะไปครับ 55555,1,facebook,10/28/2020
R0139,แนะนำขับรถเข้าไปชม กินกาแฟ แล้ว นอนเต๊นท์ดีกว่า,1,facebook,12/10/2021
R0140,แพงเกิ้นนนน,1,facebook,8/30/2022
R0141,ตอนนี้ มีโควิด ราคาคงลดไปเยอะแล้วมั้ย ขายวิวแพงไปเนาะ,1,facebook,3/24/2020
R0142,ที่เขาค้อยังำม่ถูก ลื้อใช่ไหมค่ะ จะได้ไปเที่ยวคะ,1,facebook,10/24/2020
R0143,แต่ละที่แพงเวอร์,1,facebook,6/18/2023
R0144,แพงอ่ะ เลยไม่เคยกลับไปเที่ยวไทยอีกเลย,1,facebook,7/10/2022
R0145,ราคาแบบ เริ่มต้นก็เจ้งๆๆๆ,1,facebook,12/11/2024
R0146,แพงเกิน สำหรับคนไทยที่ ใช้แรงงาน ทำงานแค่วันละ420-500บาทต่อวันครับผม,1,facebook,2/14/2018
R0147,จะแพงไปไหน,1,facebook,5/23/2023
R0148,"ที่พักเมืองไทย เหมือนไปเมืองนอก นี่เลยครับ บ้านตากอากาศในหุบเขาติดทะเลสาบลำธารไหลผ่านบรรยากาศสวิส จากกรุงเทพแค่2ช.ม.
",1,facebook,11/18/2021
R0149,ถูกมากกกกกกกกกกก,1,facebook,1/13/2021
R0150,เพชรบูณ์สวย,1,facebook,9/17/2022
R0151,เหมือนต่างประเทศตรงราคานี่แหละ,1,facebook,8/21/2024
R0152,บรรยากาศต่างประเทศยันราคา,1,facebook,3/20/2023
R0153,ราคาแบบนี้คนไทยคงได้แต่ฝัน,1,facebook,2/21/2024
R0154,ต้องเก็บเงินไปเท่ยวไม่พลาดเลยจ้า,1,facebook,9/8/2019
R0155,ไปเขาค้อจะเจอเขาทรายด้วย,1,facebook,4/25/2021
R0156,ไปฮ่องกงง่ายกว่าถูกกว่า5555,1,facebook,2/20/2024
R0157,เอาจริงๆนะที่พักในน้ำเนี่ยทำลายแม่น้ำหรือเปล่า สิ่งสกปรกปฏิกูลทำไงทิ้งลงน้ำมั้ย,1,facebook,6/25/2022
R0158,"ถูกกฏหมายหรือผิดกฏหมาย
เรามีสติปัญญามีจิตสำนึกดี
ช่วยกันสนับสนุนหรือต่อต้าน
จิตสำนึกชั่ว..เลว หลบไป",1,facebook,7/12/2023
R0159,อากาศต่างกันไทยร้อน,1,facebook,11/18/2023
R0160,ราคาที่พักแต่ละแห่ง...อื้อหือ อื้อหือ และอื้อหืออออ...ไม่เหมาะกับคนรายได้น้อยอย่างชั้น...ระดับคนอย่างชั้น ต้องพักไม่เกินพัน,1,facebook,10/22/2020
R0161,เหมือนนะแต่ความร้อนไม่ไหว,1,facebook,10/29/2025
